file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/style.css,90,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,9
static/style.css,91,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,16
static/style.css,92,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,93,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,94,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,17
static/style.css,95,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,16
static/style.css,96,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,17
static/style.css,97,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,26
static/style.css,98,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,99,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,100,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,12
static/style.css,101,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,21
static/style.css,102,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,16
static/style.css,103,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,24
static/style.css,104,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,105,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,11
static/style.css,106,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,17
static/style.css,107,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,19
static/style.css,108,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,109,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,110,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,11
static/style.css,111,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,20
static/style.css,112,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,113,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,114,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,8
static/style.css,115,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,20
static/style.css,116,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,117,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,118,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,13
static/style.css,119,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,18
static/style.css,120,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
static/style.css,121,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,25
static/style.css,122,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,44
static/style.css,123,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,22
static/style.css,124,css,cba7ce1e,Krishna,2026-02-19,22:16:18,-05:00,2026-02-19T22:16:18-05:00,0,0
src/app.html,1,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,0,14
src/app.html,2,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,0,15
src/app.html,3,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,1,5
src/app.html,4,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,2,23
src/app.html,5,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,2,23
src/app.html,6,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,2,56
src/app.html,7,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,2,60
src/app.html,8,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,2,52
src/app.html,9,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,2,15
src/app.html,10,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,1,6
src/app.html,11,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,1,41
src/app.html,12,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,2,52
src/app.html,13,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,1,6
src/app.html,14,html,2efd207,Krishnaveni Parvataneni,2026-02-19,15:03:41,-05:00,2026-02-19T15:03:41-05:00,0,6
